time,temperature_2m,precipitation,wind_speed_10m,wind_gusts_10m,wind_direction_10m
2021-01-01 00:00:00,-0.2,0.0,5.1,12.2,8
2021-01-01 01:00:00,0.1,0.0,4.8,12.2,42
2021-01-01 02:00:00,-0.7,0.0,4.3,10.1,42
2021-01-01 03:00:00,-1.3,0.0,5.0,10.4,21
2021-01-01 04:00:00,-1.7,0.0,4.8,10.4,13
2021-01-01 05:00:00,-2.4,0.0,5.1,10.8,8
2021-01-01 06:00:00,-2.1,0.0,4.3,11.2,360
2021-01-01 07:00:00,-2.4,0.0,4.5,12.6,14
2021-01-01 08:00:00,-2.6,0.0,4.2,12.6,20
2021-01-01 09:00:00,-2.9,0.0,5.1,11.9,39
2021-01-01 10:00:00,-3.1,0.0,4.3,11.2,48
2021-01-01 11:00:00,-2.2,0.0,2.7,9.0,67
2021-01-01 12:00:00,-0.5,0.0,1.8,6.1,79
2021-01-01 13:00:00,0.7,0.0,2.6,3.6,146
2021-01-01 14:00:00,0.6,0.0,3.4,6.1,122
2021-01-01 15:00:00,1.5,0.0,2.3,5.0,108
2021-01-01 16:00:00,0.2,0.0,2.6,4.7,106
2021-01-01 17:00:00,-2.1,0.0,4.2,7.2,110
2021-01-01 18:00:00,-2.4,0.0,4.0,7.6,100
2021-01-01 19:00:00,-2.7,0.0,3.6,7.6,84
2021-01-01 20:00:00,-2.7,0.0,4.0,7.2,80
2021-01-01 21:00:00,-2.6,0.0,4.7,8.3,86
2021-01-01 22:00:00,-2.7,0.0,5.0,9.4,90
2021-01-01 23:00:00,-2.8,0.0,4.7,9.7,90
2021-01-02 00:00:00,-3.1,0.0,5.1,9.4,94
2021-01-02 01:00:00,-1.9,0.0,4.3,9.7,90
2021-01-02 02:00:00,-1.9,0.0,4.0,10.8,95
2021-01-02 03:00:00,-1.8,0.0,4.0,9.7,95
2021-01-02 04:00:00,-1.4,0.0,4.5,11.5,119
2021-01-02 05:00:00,-0.9,0.0,4.4,11.9,125
2021-01-02 06:00:00,-0.1,0.0,5.6,13.0,130
2021-01-02 07:00:00,0.2,0.0,7.3,16.6,147
2021-01-02 08:00:00,-0.7,0.0,7.7,18.0,139
2021-01-02 09:00:00,-0.8,0.0,8.4,19.4,137
2021-01-02 10:00:00,-0.7,0.0,8.5,20.2,144
2021-01-02 11:00:00,0.4,0.0,9.4,21.2,148
